"2019-03-15-12:49:17 [restartedMain] INFO  cn.sk.huiadminbgtemp.HUiAdminBgtempApplication- Starting HUiAdminBgtempApplication on USER-20161223SU with PID 13276 (D:\idea_workspace\2019\h-ui.admin-bgtemp\target\classes started by Administrator in D:\idea_workspace\2019\h-ui.admin-bgtemp)
""2019-03-15-12:49:17 [restartedMain] INFO  cn.sk.huiadminbgtemp.HUiAdminBgtempApplication- The following profiles are active: dev
""2019-03-15-12:49:17 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor- Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2019-03-15-12:49:17 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor- For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2019-03-15-12:49:22 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer- Tomcat initialized with port(s): 8081 (http)
""2019-03-15-12:49:22 [restartedMain] INFO  org.apache.catalina.core.StandardService- Starting service [Tomcat]
""2019-03-15-12:49:22 [restartedMain] INFO  org.apache.catalina.core.StandardEngine- Starting Servlet engine: [Apache Tomcat/9.0.16]
""2019-03-15-12:49:22 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener- An older version [1.2.16] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.21]
""2019-03-15-12:49:22 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener- Loaded APR based Apache Tomcat Native library [1.2.16] using APR version [1.6.3].
""2019-03-15-12:49:22 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener- APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
""2019-03-15-12:49:22 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener- APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
""2019-03-15-12:49:23 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener- OpenSSL successfully initialized [OpenSSL 1.0.2m  2 Nov 2017]
""2019-03-15-12:49:23 [restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/temp]- Initializing Spring embedded WebApplicationContext
""2019-03-15-12:49:23 [restartedMain] INFO  org.springframework.web.context.ContextLoader- Root WebApplicationContext: initialization completed in 5790 ms
""2019-03-15-12:49:23 [restartedMain] INFO  com.alibaba.druid.spring.boot.autoconfigure.DruidDataSourceAutoConfigure- Init DruidDataSource
""2019-03-15-12:49:24 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource- {dataSource-1} inited
""2019-03-15-12:49:26 [restartedMain] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor- Initializing ExecutorService 'applicationTaskExecutor'
""2019-03-15-12:49:26 [restartedMain] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler- Initializing ExecutorService 'taskScheduler'
""2019-03-15-12:49:27 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer- LiveReload server is running on port 35729
""2019-03-15-12:49:27 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer- Tomcat started on port(s): 8081 (http) with context path '/temp'
""2019-03-15-12:49:27 [restartedMain] INFO  cn.sk.huiadminbgtemp.HUiAdminBgtempApplication- Started HUiAdminBgtempApplication in 11.648 seconds (JVM running for 16.061)
""2019-03-15-12:50:04 [http-nio-172.31.211.181-8081-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/temp]- Initializing Spring DispatcherServlet 'dispatcherServlet'
""2019-03-15-12:50:04 [http-nio-172.31.211.181-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet- Initializing Servlet 'dispatcherServlet'
